Front,Back,Right,LeftRPM,RightRPM,Command
28,40,46,0.0,0.0,4
28,39,46,0.0,0.0,4
28,39,46,0.0,0.0,4
28,41,46,0.0,0.0,4
28,41,46,0.0,0.0,4
28,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,45,46,0.0,0.0,4
27,45,46,0.0,0.0,4
27,45,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,41,46,0.0,0.0,4
27,39,46,0.0,0.0,4
27,39,46,0.0,0.0,4
27,39,46,0.0,0.0,2
27,41,46,0.0,0.0,2
27,41,46,0.0,0.0,2
27,41,46,0.0,0.0,2
27,38,46,0.0,0.0,2
27,38,46,0.0,0.0,2
29,38,46,0.0,0.0,2
29,36,46,0.0,60.0,2
29,36,45,0.0,30.0,2
34,35,45,0.0,0.0,2
34,255,45,0.0,0.0,2
34,37,41,0.0,90.0,2
38,31,41,0.0,30.0,2
38,30,41,0.0,0.0,2
38,255,37,0.0,0.0,2
44,255,37,0.0,0.0,2
44,255,37,0.0,0.0,2
50,255,35,0.0,0.0,2
50,16,35,0.0,0.0,2
50,255,33,0.0,0.0,2
56,255,33,0.0,0.0,3
56,255,33,0.0,60.0,3
56,255,33,0.0,0.0,3
61,9,33,0.0,0.0,3
61,6,33,0.0,0.0,3
61,6,34,0.0,0.0,3
62,6,34,0.0,0.0,3
62,255,34,0.0,0.0,3
62,255,34,0.0,0.0,3
62,255,34,0.0,0.0,3
62,255,34,0.0,0.0,3
62,255,34,0.0,0.0,3
62,255,34,0.0,0.0,3
62,255,34,0.0,0.0,3
62,255,34,0.0,0.0,3
62,255,34,0.0,0.0,3
62,255,34,0.0,0.0,3
62,255,34,0.0,0.0,3
62,255,34,0.0,0.0,3
62,255,34,0.0,0.0,3
62,255,34,0.0,0.0,3
62,255,34,0.0,0.0,3
62,255,34,0.0,0.0,3
62,255,34,0.0,0.0,1
62,255,34,0.0,0.0,1
62,255,34,0.0,0.0,1
62,255,34,0.0,0.0,1
62,255,34,0.0,0.0,1
62,255,34,0.0,0.0,1
62,255,34,0.0,0.0,1
62,255,34,0.0,0.0,1
62,255,33,0.0,0.0,3
60,255,33,0.0,90.0,3
60,255,33,0.0,90.0,3
60,255,34,0.0,0.0,3
56,255,34,0.0,0.0,3
56,255,34,0.0,0.0,3
56,255,35,0.0,0.0,3
56,255,35,0.0,0.0,3
56,255,34,0.0,0.0,3
56,255,34,0.0,0.0,3
56,255,34,0.0,0.0,3
56,255,34,0.0,0.0,3
56,255,34,0.0,0.0,3
56,255,34,0.0,0.0,3
56,255,34,0.0,0.0,3
56,255,34,0.0,0.0,3
56,255,34,0.0,0.0,3
56,255,34,0.0,0.0,3
56,255,34,0.0,0.0,3
56,255,34,0.0,0.0,3
56,255,35,0.0,0.0,3
56,255,35,0.0,0.0,3
56,255,35,0.0,0.0,3
56,255,34,0.0,0.0,3
56,255,34,0.0,0.0,3
56,255,34,0.0,0.0,3
56,255,34,0.0,0.0,3
52,255,34,0.0,0.0,1
52,255,34,0.0,0.0,1
56,255,34,0.0,0.0,1
56,255,34,0.0,0.0,1
56,255,34,0.0,0.0,1
56,5,34,0.0,0.0,1
56,5,34,0.0,0.0,1
56,5,35,0.0,0.0,1
54,7,35,0.0,0.0,1
54,126,35,0.0,0.0,1
54,255,37,0.0,0.0,1
48,255,37,0.0,0.0,1
48,255,37,0.0,0.0,1
48,30,54,0.0,60.0,1
43,35,54,0.0,0.0,1
43,31,54,0.0,0.0,1
43,31,50,0.0,0.0,1
36,31,50,0.0,0.0,1
36,35,50,0.0,0.0,1
31,35,49,0.0,0.0,1
38,31,47,0.0,0.0,1
38,31,47,0.0,0.0,1
38,31,47,0.0,0.0,1
38,31,47,0.0,0.0,1
38,31,47,0.0,0.0,1
38,31,47,0.0,0.0,1
38,31,47,0.0,0.0,1
38,31,47,0.0,0.0,1
38,31,47,0.0,0.0,1
38,31,47,0.0,0.0,1
38,31,47,0.0,0.0,1
38,31,47,0.0,0.0,1
38,31,47,0.0,0.0,1
38,31,47,0.0,0.0,1
38,31,47,0.0,0.0,1
38,31,47,0.0,0.0,1
38,31,47,0.0,0.0,1
38,31,47,0.0,0.0,1
38,31,47,0.0,0.0,1
38,31,47,0.0,0.0,1
49,255,42,0.0,0.0,1
49,255,42,0.0,0.0,1
49,255,42,0.0,0.0,1
49,255,42,0.0,0.0,1
49,255,42,0.0,0.0,1
49,255,42,0.0,0.0,1
49,255,42,0.0,0.0,1
49,255,42,0.0,0.0,1
49,255,42,0.0,0.0,1
49,255,42,0.0,0.0,1
49,255,42,0.0,0.0,1
49,255,42,0.0,0.0,1
49,255,42,0.0,0.0,1
49,255,42,0.0,0.0,1
49,255,42,0.0,0.0,1
49,255,42,0.0,0.0,1
49,255,42,0.0,0.0,1
49,255,41,0.0,0.0,1
49,255,41,0.0,0.0,1
49,255,55,0.0,0.0,1
46,255,55,0.0,30.0,1
46,255,55,930.0,0.0,1
46,29,54,0.0,0.0,1
43,29,54,0.0,0.0,1
43,30,54,0.0,0.0,1
43,30,49,0.0,0.0,1
36,35,49,0.0,0.0,1
36,35,49,0.0,0.0,1
36,35,43,0.0,0.0,1
17,50,35,0.0,0.0,2
17,50,35,0.0,0.0,2
17,50,35,0.0,0.0,2
17,50,35,0.0,0.0,2
17,50,35,0.0,0.0,2
17,50,35,0.0,0.0,2
17,50,35,0.0,0.0,2
17,50,35,0.0,0.0,2
17,50,35,0.0,0.0,2
17,52,35,0.0,0.0,2
17,52,35,0.0,0.0,2
17,52,35,0.0,0.0,2
17,51,35,0.0,0.0,2
17,51,35,0.0,0.0,2
17,51,35,0.0,0.0,2
17,52,35,0.0,0.0,2
17,52,35,0.0,0.0,2
16,52,35,0.0,0.0,2
16,53,35,0.0,0.0,2
18,53,35,0.0,0.0,2
18,51,35,0.0,0.0,2
18,51,35,0.0,0.0,2
17,51,35,0.0,0.0,2
17,51,35,0.0,0.0,2
17,51,36,0.0,0.0,2
19,49,36,0.0,0.0,2
19,49,36,0.0,0.0,2
19,49,36,0.0,120.0,2
24,51,36,0.0,0.0,2
24,43,36,0.0,0.0,2
24,49,38,0.0,0.0,2
28,49,38,0.0,0.0,2
28,43,38,0.0,0.0,2
28,39,44,0.0,0.0,2
31,38,44,0.0,0.0,2
31,36,44,0.0,0.0,2
31,36,49,0.0,0.0,2
38,32,49,0.0,0.0,2
38,31,54,0.0,0.0,2
41,31,54,0.0,0.0,2
41,255,54,0.0,0.0,2
41,255,54,0.0,0.0,2
47,255,54,0.0,0.0,2
47,255,54,0.0,0.0,2
47,255,38,0.0,0.0,2
52,255,38,0.0,0.0,2
52,255,38,0.0,0.0,2
52,255,35,0.0,0.0,2
56,255,35,0.0,0.0,2
56,255,35,0.0,0.0,2
56,255,33,0.0,0.0,2
59,255,33,0.0,0.0,2
59,255,33,0.0,60.0,2
55,73,48,0.0,0.0,1
55,73,29,0.0,0.0,1
55,73,29,0.0,0.0,1
55,73,29,0.0,0.0,1
55,73,29,0.0,0.0,1
55,73,29,0.0,0.0,1
55,72,29,0.0,0.0,1
55,72,29,0.0,0.0,1
55,72,29,0.0,0.0,1
55,72,29,0.0,0.0,1
55,72,49,0.0,0.0,1
55,72,49,0.0,0.0,1
55,72,49,0.0,0.0,1
55,72,29,0.0,0.0,1
54,74,29,0.0,0.0,1
54,94,29,0.0,0.0,1
54,94,30,0.0,0.0,1
52,75,30,0.0,0.0,1
52,80,30,0.0,0.0,1
48,79,30,0.0,60.0,1
48,84,30,0.0,0.0,1
48,84,29,0.0,0.0,1
40,84,29,0.0,0.0,1
33,94,28,0.0,0.0,3
33,94,28,0.0,0.0,3
33,94,27,0.0,0.0,3
33,94,27,0.0,0.0,3
33,94,27,0.0,0.0,3
33,94,27,0.0,0.0,3
33,94,27,0.0,0.0,3
33,94,27,0.0,0.0,3
33,94,28,0.0,0.0,3
33,94,28,0.0,0.0,3
33,94,28,0.0,0.0,3
33,94,28,0.0,0.0,3
33,94,28,0.0,0.0,3
33,94,28,0.0,0.0,3
33,94,28,0.0,0.0,3
33,94,28,0.0,0.0,3
33,95,28,0.0,0.0,3
33,95,29,0.0,0.0,3
33,95,29,0.0,0.0,3
33,95,29,0.0,0.0,3
33,95,29,0.0,0.0,3
33,95,29,0.0,0.0,3
33,95,29,0.0,0.0,3
34,95,29,0.0,0.0,3
34,95,29,0.0,0.0,3
34,95,28,0.0,0.0,3
33,95,28,0.0,0.0,3
33,95,28,0.0,0.0,3
33,95,28,0.0,0.0,3
34,95,28,0.0,0.0,3
34,96,28,0.0,0.0,3
34,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
33,96,27,0.0,0.0,3
22,5,5,0.0,0.0,3
22,82,5,0.0,0.0,3
22,82,255,0.0,0.0,3
22,82,255,0.0,0.0,3
22,82,255,0.0,0.0,3
22,82,255,0.0,0.0,3
22,82,255,0.0,0.0,3
22,81,255,0.0,0.0,3
22,81,255,0.0,0.0,3
22,81,255,0.0,0.0,3
22,80,255,0.0,0.0,3
22,80,255,0.0,0.0,3
22,80,255,0.0,0.0,3
22,80,255,0.0,0.0,3
22,80,255,0.0,0.0,3
22,80,255,0.0,0.0,3
22,82,255,0.0,0.0,3
22,82,255,0.0,0.0,3
22,82,255,0.0,0.0,3
22,81,255,0.0,0.0,3
22,81,255,0.0,0.0,3
22,80,255,0.0,0.0,3
22,80,255,0.0,0.0,3
22,80,255,0.0,0.0,3
22,81,255,0.0,0.0,3
22,81,30,0.0,0.0,3
43,56,80,0.0,0.0,1
43,56,76,0.0,0.0,1
43,56,76,0.0,0.0,1
43,255,76,0.0,0.0,1
43,255,76,0.0,0.0,1
43,255,76,0.0,0.0,1
43,52,76,0.0,0.0,1
43,52,75,0.0,0.0,1
43,52,75,0.0,0.0,1
43,52,75,0.0,0.0,1
43,52,76,0.0,0.0,1
43,52,76,0.0,0.0,1
43,52,76,0.0,0.0,1
43,52,76,0.0,0.0,1
43,52,76,0.0,0.0,1
43,52,76,0.0,0.0,1
43,52,76,0.0,0.0,1
43,52,76,0.0,0.0,1
43,52,75,0.0,0.0,1
43,52,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,18,75,0.0,0.0,1
43,18,76,0.0,0.0,1
43,18,76,0.0,30.0,1
43,22,76,0.0,0.0,1
43,22,75,390.0,0.0,1
43,22,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,20,75,0.0,0.0,1
43,20,76,0.0,0.0,1
43,54,76,0.0,0.0,1
43,54,75,0.0,0.0,1
43,54,75,360.0,0.0,1
43,22,75,0.0,0.0,1
43,22,75,0.0,0.0,1
43,22,75,0.0,0.0,1
43,53,75,0.0,0.0,1
43,53,75,0.0,0.0,1
43,53,75,0.0,0.0,1
43,53,75,0.0,0.0,1
43,53,76,0.0,0.0,1
43,53,76,390.0,0.0,1
43,23,76,0.0,0.0,1
43,23,75,0.0,0.0,1
43,23,75,0.0,0.0,1
43,24,75,0.0,0.0,1
43,24,76,0.0,0.0,1
43,24,76,0.0,0.0,1
43,52,76,0.0,0.0,1
43,52,76,360.0,0.0,1
43,52,76,0.0,0.0,1
43,52,75,0.0,0.0,1
43,52,75,0.0,0.0,1
43,52,75,0.0,0.0,1
43,52,76,0.0,0.0,1
43,52,76,0.0,0.0,1
43,52,76,0.0,0.0,1
43,52,75,0.0,0.0,1
43,17,76,0.0,0.0,1
43,17,76,0.0,0.0,1
43,17,75,0.0,0.0,1
43,17,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,30.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,76,0.0,30.0,1
44,255,76,0.0,0.0,1
44,255,75,0.0,30.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
44,11,75,0.0,0.0,1
44,11,75,0.0,0.0,1
43,11,75,0.0,0.0,1
43,11,75,0.0,0.0,1
43,11,75,0.0,0.0,1
44,11,75,0.0,0.0,1
44,12,75,0.0,0.0,1
44,12,76,0.0,0.0,1
44,11,76,0.0,0.0,1
44,11,75,0.0,0.0,1
44,11,75,0.0,0.0,1
44,11,75,0.0,0.0,1
44,11,75,0.0,0.0,1
43,11,75,0.0,0.0,1
43,11,75,0.0,0.0,1
43,11,75,0.0,0.0,1
44,11,75,0.0,0.0,1
44,11,75,0.0,0.0,1
44,11,75,0.0,0.0,1
44,11,75,0.0,30.0,1
44,11,75,0.0,0.0,1
43,10,75,0.0,0.0,1
43,10,75,0.0,0.0,1
43,10,75,0.0,0.0,1
43,10,75,0.0,0.0,1
43,10,75,0.0,0.0,1
43,10,75,0.0,0.0,1
43,10,75,0.0,0.0,1
43,10,75,0.0,0.0,1
43,10,76,0.0,0.0,1
43,10,76,0.0,0.0,1
43,10,76,0.0,0.0,1
43,10,75,0.0,0.0,1
43,10,75,0.0,0.0,1
43,10,75,0.0,0.0,1
43,10,76,0.0,0.0,1
43,10,76,0.0,0.0,1
43,10,76,0.0,0.0,1
43,10,75,0.0,0.0,1
43,10,75,0.0,0.0,1
43,10,75,0.0,0.0,1
43,17,75,0.0,0.0,1
43,17,75,0.0,0.0,1
43,17,75,0.0,0.0,1
43,17,75,0.0,0.0,1
43,17,75,0.0,0.0,1
43,17,75,0.0,0.0,1
43,17,75,0.0,0.0,1
43,17,75,0.0,0.0,1
43,17,75,0.0,0.0,1
43,17,75,0.0,0.0,1
43,17,75,0.0,0.0,1
43,17,75,0.0,0.0,1
43,17,75,0.0,0.0,1
43,17,75,0.0,0.0,1
43,17,75,0.0,0.0,1
43,17,75,0.0,0.0,1
43,17,75,0.0,0.0,1
43,17,75,0.0,0.0,1
43,17,75,0.0,0.0,1
43,17,75,0.0,0.0,1
43,17,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,76,0.0,0.0,1
44,255,76,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
43,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,30.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,0.0,0.0,1
44,255,75,60.0,0.0,1
42,255,75,270.0,30.0,1
42,255,75,0.0,60.0,1
44,255,75,0.0,30.0,1
44,255,75,780.0,0.0,1
44,255,75,120.0,30.0,1
90,255,45,0.0,0.0,1
90,255,45,0.0,0.0,1
90,255,43,0.0,0.0,1
98,255,43,0.0,0.0,1
98,68,43,0.0,0.0,1
98,68,45,0.0,0.0,1
97,70,45,0.0,0.0,1
97,70,53,0.0,0.0,1
95,70,53,0.0,0.0,1
95,64,53,0.0,0.0,1
95,64,52,0.0,0.0,1
99,64,52,0.0,0.0,1
99,64,52,0.0,0.0,1
99,64,52,0.0,0.0,1
94,64,52,0.0,0.0,1
94,64,52,0.0,0.0,1
94,64,53,270.0,0.0,1
95,64,53,60.0,30.0,1
95,4,53,180.0,30.0,1
95,4,53,360.0,30.0,1
60,4,53,570.0,0.0,1
60,4,53,0.0,0.0,1
60,4,53,750.0,30.0,1
60,4,53,810.0,0.0,1
60,4,53,180.0,0.0,1
60,4,53,180.0,30.0,1
60,4,53,90.0,60.0,1
60,4,53,0.0,0.0,1
61,4,53,0.0,30.0,1
61,4,53,300.0,0.0,1
61,4,53,210.0,0.0,1
60,4,53,180.0,0.0,1
60,4,53,120.0,0.0,1
60,4,53,570.0,30.0,1
61,4,53,0.0,30.0,1
61,4,53,0.0,0.0,1
61,4,53,30.0,0.0,1
60,4,53,150.0,0.0,1
60,4,53,150.0,0.0,1
60,4,53,90.0,0.0,1
59,4,53,120.0,0.0,1
59,4,53,180.0,0.0,1
59,4,53,0.0,0.0,1
60,4,53,0.0,0.0,1
60,4,53,420.0,0.0,1
61,4,53,210.0,0.0,1
61,4,53,210.0,0.0,1
61,4,53,270.0,60.0,1
61,4,53,180.0,0.0,1
61,4,53,0.0,0.0,1
61,4,53,600.0,30.0,1
59,4,53,330.0,0.0,1
59,4,53,180.0,90.0,1
59,4,53,90.0,0.0,1
61,4,53,270.0,0.0,1
61,4,53,270.0,0.0,1
61,4,53,0.0,30.0,1
60,4,53,0.0,0.0,1
60,4,53,330.0,0.0,1
60,4,53,300.0,0.0,1
59,4,53,180.0,30.0,1
59,4,53,330.0,0.0,1
59,4,53,90.0,0.0,1
60,4,53,360.0,30.0,1
60,4,53,660.0,60.0,1
60,4,53,480.0,0.0,1
61,4,53,270.0,60.0,1
61,4,53,180.0,0.0,1
60,4,53,180.0,0.0,1
60,4,53,120.0,30.0,1
60,4,53,990.0,0.0,1
60,4,53,60.0,0.0,1
60,4,53,180.0,0.0,1
60,4,53,390.0,0.0,1
95,4,53,210.0,0.0,1
95,4,53,180.0,0.0,1
95,4,53,90.0,0.0,1
60,4,53,210.0,30.0,1
60,4,53,1110.0,0.0,1
60,4,53,810.0,0.0,1
95,4,53,540.0,60.0,1
95,4,53,240.0,0.0,1
95,4,53,180.0,0.0,1
60,4,53,90.0,0.0,1
60,4,53,120.0,0.0,1
60,4,53,330.0,30.0,1
61,4,53,1770.0,30.0,1
61,4,53,570.0,30.0,1
61,4,53,150.0,0.0,1
61,4,53,180.0,0.0,1
61,4,53,210.0,30.0,1
60,4,53,30.0,30.0,1
60,4,53,120.0,0.0,1
60,4,53,810.0,0.0,1
60,4,53,0.0,0.0,1
60,4,53,210.0,0.0,1
60,4,53,330.0,120.0,1
61,4,53,180.0,0.0,1
61,4,53,120.0,0.0,1
61,4,53,30.0,30.0,1
60,4,53,420.0,0.0,1
60,4,53,1380.0,0.0,1
60,4,53,90.0,0.0,1
95,4,53,270.0,0.0,1
95,4,53,540.0,30.0,1
95,4,53,180.0,30.0,1
95,4,53,90.0,0.0,1
95,4,53,690.0,90.0,1
95,4,53,840.0,0.0,1
95,4,53,1260.0,60.0,1
95,4,53,150.0,30.0,1
59,4,53,150.0,30.0,1
59,4,53,150.0,0.0,1
59,4,53,150.0,0.0,1
60,4,53,60.0,0.0,1
60,4,53,840.0,30.0,1
60,4,53,810.0,0.0,1
60,4,53,210.0,0.0,1
60,4,53,390.0,0.0,1
60,4,53,390.0,0.0,1
60,4,53,180.0,0.0,1
60,4,53,270.0,30.0,1
60,4,53,60.0,30.0,1
95,4,53,420.0,30.0,1
95,4,53,510.0,0.0,1
95,4,53,420.0,0.0,1
95,4,53,480.0,30.0,1
95,4,53,210.0,0.0,1
60,4,53,180.0,0.0,1
60,4,53,180.0,30.0,1
60,4,53,450.0,0.0,1
94,4,53,390.0,0.0,1
94,4,53,390.0,0.0,1
94,4,53,360.0,0.0,1
95,4,53,90.0,0.0,1
95,4,53,240.0,30.0,1
95,4,53,240.0,0.0,1
61,4,53,120.0,0.0,1
61,4,53,120.0,0.0,1
61,4,53,210.0,0.0,1
59,4,53,210.0,0.0,1
59,4,53,420.0,0.0,1
59,4,53,180.0,0.0,1
60,4,53,90.0,30.0,1
95,4,53,0.0,0.0,4
95,4,53,0.0,0.0,4
95,4,53,0.0,0.0,4
95,4,53,0.0,0.0,4
95,4,53,0.0,0.0,4
95,4,53,0.0,0.0,4
95,4,53,0.0,0.0,4
95,4,53,0.0,0.0,4
95,4,53,0.0,0.0,4
95,4,53,0.0,0.0,4
95,4,53,0.0,0.0,4
95,4,53,0.0,0.0,4
95,4,53,0.0,0.0,4
60,4,53,0.0,0.0,4
60,4,53,0.0,0.0,4
60,4,53,0.0,0.0,4
95,4,53,0.0,0.0,4
95,4,53,0.0,0.0,4
95,4,53,0.0,30.0,4
95,4,53,0.0,0.0,4
95,4,53,0.0,60.0,4
95,4,53,0.0,30.0,4
95,4,53,0.0,0.0,4
95,4,53,0.0,30.0,4
95,4,53,0.0,30.0,4
95,4,53,0.0,30.0,4
95,4,53,0.0,30.0,4
94,4,53,0.0,0.0,4
94,4,53,0.0,30.0,4
94,4,53,0.0,30.0,4
95,4,53,0.0,30.0,4
95,4,53,0.0,30.0,4
95,4,53,0.0,60.0,4
95,4,53,0.0,0.0,4
95,4,53,0.0,60.0,4
95,4,53,0.0,0.0,4
95,4,53,0.0,0.0,4
95,4,53,0.0,30.0,4
95,4,53,0.0,0.0,4
95,4,53,0.0,30.0,4
95,4,53,0.0,30.0,4
63,4,53,0.0,30.0,4
63,4,53,0.0,60.0,4
63,4,53,0.0,60.0,4
95,4,53,0.0,30.0,4
95,4,53,0.0,30.0,4
95,4,53,0.0,30.0,4
95,4,53,0.0,30.0,4
95,4,53,0.0,30.0,4
95,4,53,0.0,30.0,4
95,4,53,0.0,30.0,4
95,4,53,0.0,30.0,4
